bibNum,gender,finishNet,finishNetConverted,5K,10K,15K,20K,25K
1,Men,01:00:37,3637,12.89,12.93,13.12,12.84,13.71
103,Women,01:06:29,3989,11.76,11.82,11.83,11.84,12.24
2,Men,01:00:45,3645,12.9,12.92,13.12,12.84,13.08
102,Women,01:06:41,4001,11.76,11.82,11.84,11.76,11.91
3,Men,01:01:28,3688,12.9,12.92,12.98,12.39,12.93
101,Women,01:07:55,4075,11.76,11.82,11.67,11.11,11.58
11,Men,01:01:29,3689,12.9,12.92,12.96,12.41,12.85
113,Women,01:08:07,4087,11.76,11.82,11.59,11.05,11.62
13,Men,01:01:55,3715,12.9,12.93,12.95,12.16,12.36
109,Women,01:10:07,4207,11.46,11.4,11.13,10.88,11.35
41,Men,01:02:26,3746,12.64,12.78,12.61,12.38,12.61
110,Women,01:11:30,4290,11.24,10.96,10.93,10.78,11.53
10,Men,01:02:30,3750,12.62,12.79,12.61,12.35,12.5
202,Women,01:11:48,4308,10.99,11.22,10.94,10.72,10.9
15,Men,01:02:40,3760,12.9,12.93,12.22,12.26,12.27
121,Women,01:12:05,4325,10.98,11.12,10.94,10.61,10.98
35,Men,01:02:45,3765,12.61,12.8,12.62,12.21,12.22
116,Women,01:12:25,4345,10.98,11.12,10.83,10.54,10.87
17,Men,01:02:53,3773,12.62,12.78,12.51,12.09,12.88
117,Women,01:12:27,4347,10.98,11.12,10.83,10.47,11.06
40,Men,01:02:54,3774,12.63,12.77,12.5,12.09,12.74
106,Women,01:12:39,4359,10.89,10.78,10.79,10.77,11.24
16,Men,01:03:00,3780,12.64,12.77,12.5,12.09,12.39
119,Women,01:12:48,4368,10.98,11.09,10.7,10.48,10.83
19,Men,01:03:25,3805,12.62,12.78,12.4,11.91,12.26
118,Women,01:12:56,4376,10.97,10.88,10.67,10.59,10.98
6,Men,01:03:28,3808,12.69,12.49,12.25,12.16,12.52
131,Women,01:14:03,4443,10.5,10.64,10.64,10.62,11.1
25,Men,01:03:28,3808,12.6,12.7,12.12,12.16,12.48
115,Women,01:14:07,4447,10.97,10.86,10.43,10.25,10.56
27,Men,01:03:32,3812,12.61,12.79,12.29,11.92,12.27
111,Women,01:14:09,4449,10.47,10.66,10.57,10.59,11.35
8,Men,01:03:42,3822,12.64,12.74,12.12,11.97,12.22
108,Women,01:14:26,4466,10.54,10.64,10.52,10.48,11.06
20,Men,01:03:50,3830,12.58,12.34,12.24,12.16,12.36
133,Women,01:14:30,4470,10.48,10.65,10.57,10.47,10.93
22,Men,01:03:54,3834,12.56,12.35,12.23,12.08,12.49
135,Women,01:14:33,4473,10.87,10.74,10.45,10.2,10.49
30,Men,01:03:57,3837,12.54,12.37,12.23,12.03,12.53
20371,Women,01:14:45,4485,10.58,10.64,10.52,10.3,10.86
21,Men,01:03:58,3838,12.61,12.56,12.15,11.92,12.27
114,Women,01:14:57,4497,10.97,10.89,10.48,9.85,9.99
36,Men,01:04:00,3840,12.15,12.22,12.28,12.31,13.37
120,Women,01:15:03,4503,10.52,10.62,10.56,10.22,10.58
28,Men,01:04:03,3843,12.54,12.37,12.21,11.93,12.75
204,Women,01:15:13,4513,10.95,10.65,10.33,10,10.26
24,Men,01:04:03,3843,12.53,12.38,12.23,12.03,12.16
134,Women,01:15:31,4531,10.54,10.6,10.38,10.16,10.49
20316,Men,01:04:07,3847,12.17,12.36,12.16,12.3,12.72
125,Women,01:15:31,4531,10.67,10.51,10.43,10.11,10.25
9,Men,01:04:19,3859,12.56,12.28,12.03,12.04,12.38
21041,Women,01:15:54,4554,10.58,10.56,10.26,10.06,10.46
43,Men,01:04:23,3863,12.05,12.33,12.28,12.19,12.37
20348,Women,01:16:35,4595,10.49,10.65,10.34,9.7,10.09
20373,Men,01:04:24,3864,12.15,12.37,12.16,12.18,12.29
