bibNum,gender,finishNet,5K,10K,15K,20K,25K,30K,35K,40K,45K
1,Men,02:11:53,11.87,12.22,11.86,11.86,11.78,11.99,12.10,11.49,12.62
102,Women,02:26:07,10.54,10.67,10.73,10.71,10.75,11.08,11.01,10.60,10.98
8,Men,02:12:09,11.88,12.23,11.86,11.85,11.77,12.00,12.31,11.86,10.87
104,Women,02:27:35,10.75,10.89,10.81,10.79,10.55,10.60,10.74,10.05,10.91
6,Men,02:14:11,12.04,12.34,12.11,11.98,11.86,12.02,11.78,10.38,10.71
103,Women,02:28:43,10.54,10.67,10.60,10.81,10.76,11.00,10.27,10.30,9.98
3,Men,02:15:08,11.88,12.22,11.87,11.85,11.76,11.76,11.50,10.70,11.04
4410,Women,02:29:53,10.50,10.59,10.43,10.52,10.23,10.51,10.53,10.41,10.99
5,Men,02:15:23,11.87,12.22,11.87,11.85,11.76,11.75,11.10,10.90,11.09
110,Women,02:31:33,10.53,10.61,10.34,10.53,10.23,10.50,10.43,9.97,10.13
341,Men,02:15:52,11.90,12.22,11.86,11.85,11.70,11.75,11.52,10.19,11.29
106,Women,02:32:09,10.52,10.53,10.39,10.46,10.09,10.16,10.15,10.15,10.85
349,Men,02:15:54,11.80,11.82,11.65,11.58,11.16,11.42,11.52,11.52,11.81
1128,Women,02:33:16,10.33,10.33,10.34,10.30,10.12,10.14,10.12,10.18,10.85
10,Men,02:17:32,11.77,11.81,11.66,11.58,11.16,11.42,11.41,10.84,11.13
101,Women,02:33:19,10.54,10.67,10.60,10.81,10.76,10.91,10.65,8.71,8.18
365,Men,02:18:33,11.28,11.30,11.38,11.37,11.28,11.29,11.43,11.35,11.69
109,Women,02:35:35,10.55,10.67,10.60,10.81,10.74,10.34,9.68,8.92,8.14
350,Men,02:18:44,11.35,11.54,11.42,11.37,11.12,11.33,11.28,11.09,11.82
375,Women,02:39:54,10.21,10.34,8.38,10.17,9.81,9.99,9.93,9.91,10.36
20,Men,02:19:08,11.42,11.33,11.31,11.39,11.35,11.33,11.38,11.06,11.10
107,Women,02:41:35,10.54,10.67,10.30,10.02,9.77,9.48,9.41,8.72,8.33
1105,Men,02:19:31,11.52,11.69,11.54,11.53,11.51,11.60,11.29,10.37,9.89
383,Women,02:42:02,10.16,9.88,9.77,9.76,9.58,9.54,9.42,9.43,10.06
363,Men,02:19:42,11.79,11.82,11.64,11.57,11.16,11.42,10.88,10.25,10.55
118,Women,02:42:09,10.01,9.96,9.80,9.77,9.58,9.72,9.53,9.31,9.61
360,Men,02:19:45,11.79,11.80,11.66,11.45,10.86,10.91,11.02,10.69,11.02
379,Women,02:42:16,9.80,9.80,9.72,9.74,9.51,9.76,9.73,9.44,9.76
11,Men,02:20:32,11.36,11.48,11.35,11.36,11.22,11.33,11.14,10.65,10.57
1162,Women,02:42:27,10.00,10.26,9.96,9.70,9.32,9.54,9.64,9.21,9.42
21,Men,02:21:20,11.26,11.28,11.36,11.28,10.95,11.01,10.98,10.82,11.27
4406,Women,02:43:00,9.61,9.65,9.59,9.55,9.34,9.55,9.64,9.90,10.57
364,Men,02:21:27,11.31,11.48,11.31,11.38,11.08,10.99,10.90,10.58,11.00
437,Women,02:43:45,9.57,9.63,9.56,9.60,9.55,9.74,9.60,9.50,9.89
203,Men,02:21:38,11.47,11.45,11.36,11.36,11.12,11.22,10.89,10.35,10.48
116,Women,02:44:10,9.66,9.70,9.59,9.61,9.42,9.57,9.59,9.44,9.76
1112,Men,02:21:45,11.30,11.31,11.35,11.26,10.97,11.02,10.98,10.61,11.07
